epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.972,0.71578,4.33018,0.89426,0,0,0,0,0.8472,4.633,0.92178,0.07822,0.00022,0.00022
2,456.853,0.61151,3.77564,0.84406,0,0,0,0,0.607,4.34441,0.81068,0.0554455,0.000445545,0.000445545
3,694.095,0.56766,3.56683,0.8461,0,0,0,0,0.54254,4.13514,0.79859,0.0326665,0.000666536,0.000666536
4,874.189,0.5477,3.31915,0.84762,0,0,0,0,0.5613,3.80231,0.80905,0.00988297,0.000882973,0.000882973
5,1028.49,0.52636,3.16679,0.83983,0.01923,0.0024,0.01082,0.00974,0.5268,3.46905,0.80701,0.0009604,0.0009604,0.0009604
6,1184.66,0.52494,3.05429,0.84231,0.0235,0.00726,0.01386,0.01247,0.50116,3.18594,0.81634,0.0009505,0.0009505,0.0009505
7,1342.02,0.51558,2.94027,0.83565,0.01973,0.03913,0.01749,0.01574,0.50065,3.2444,0.81752,0.0009406,0.0009406,0.0009406
8,1500.71,0.51391,2.84056,0.84224,0.03391,0.05507,0.0257,0.02263,0.48097,3.03094,0.81603,0.0009307,0.0009307,0.0009307
9,1658.76,0.50781,2.74422,0.8431,0.07658,0.27698,0.09239,0.08547,0.48572,3.07435,0.82559,0.0009208,0.0009208,0.0009208
10,1819.29,0.49838,2.66777,0.84338,0.09756,0.11915,0.07775,0.07035,0.48698,2.78494,0.81825,0.0009109,0.0009109,0.0009109
11,1977.89,0.50248,2.56931,0.84876,0.07733,0.10375,0.07251,0.06788,0.4781,2.59196,0.82355,0.000901,0.000901,0.000901
12,2137.77,0.49186,2.48922,0.8345,0.1042,0.14915,0.10495,0.09504,0.49547,2.56312,0.83552,0.0008911,0.0008911,0.0008911
13,2295.12,0.49059,2.39974,0.84603,0.07455,0.14734,0.09434,0.08562,0.48503,2.46352,0.84036,0.0008812,0.0008812,0.0008812
14,2456.6,0.48495,2.30548,0.84246,0.15942,0.17927,0.14829,0.13426,0.49517,2.3304,0.83761,0.0008713,0.0008713,0.0008713
15,2615.13,0.48795,2.25938,0.84096,0.07919,0.12703,0.09691,0.0886,0.4852,2.27605,0.83536,0.0008614,0.0008614,0.0008614
16,2773.67,0.48303,2.20419,0.8483,0.10984,0.14904,0.13624,0.12674,0.48218,2.24163,0.8353,0.0008515,0.0008515,0.0008515
17,2933.75,0.48207,2.15913,0.84417,0.12235,0.20179,0.14684,0.13651,0.47984,2.17617,0.84043,0.0008416,0.0008416,0.0008416
18,3093.8,0.47464,2.1036,0.8491,0.13538,0.17005,0.13804,0.12746,0.46276,2.16751,0.83273,0.0008317,0.0008317,0.0008317
19,3252.21,0.46946,2.04894,0.84591,0.16494,0.23379,0.19484,0.17762,0.46377,2.02129,0.83714,0.0008218,0.0008218,0.0008218
20,3409.4,0.4665,2.02368,0.85366,0.21313,0.2739,0.2382,0.21903,0.47012,1.95894,0.84393,0.0008119,0.0008119,0.0008119
21,3570.39,0.46923,1.98025,0.84898,0.22492,0.27657,0.25814,0.23675,0.47469,1.92958,0.84206,0.000802,0.000802,0.000802
22,3733.2,0.47178,1.9334,0.84981,0.28705,0.2726,0.28564,0.26245,0.46562,1.88251,0.83483,0.0007921,0.0007921,0.0007921
23,3892.25,0.47261,1.88091,0.84015,0.31725,0.44971,0.36873,0.34055,0.47592,1.81322,0.84548,0.0007822,0.0007822,0.0007822
24,4051.68,0.46963,1.86476,0.85106,0.3033,0.32019,0.32166,0.29401,0.46199,1.82183,0.83341,0.0007723,0.0007723,0.0007723
25,4209.9,0.46223,1.79892,0.84213,0.29013,0.49372,0.38515,0.35351,0.46569,1.74356,0.83752,0.0007624,0.0007624,0.0007624
26,4370.06,0.46478,1.76373,0.83667,0.32482,0.4265,0.39297,0.36231,0.45374,1.67313,0.83285,0.0007525,0.0007525,0.0007525
27,4527.73,0.46885,1.70906,0.84415,0.41265,0.48817,0.50116,0.46376,0.4506,1.61002,0.83079,0.0007426,0.0007426,0.0007426
28,4685.87,0.4584,1.66002,0.84483,0.42997,0.60677,0.54446,0.50337,0.46086,1.53839,0.83824,0.0007327,0.0007327,0.0007327
29,4844.89,0.46129,1.64159,0.8498,0.46576,0.56658,0.55667,0.51664,0.46019,1.49985,0.83301,0.0007228,0.0007228,0.0007228
30,5002.93,0.46018,1.56467,0.84512,0.4498,0.64903,0.59777,0.55776,0.45913,1.44337,0.83629,0.0007129,0.0007129,0.0007129
31,5160.55,0.45422,1.56784,0.84505,0.51855,0.64853,0.62889,0.58145,0.45856,1.36947,0.8375,0.000703,0.000703,0.000703
32,5319.77,0.45443,1.49207,0.84628,0.48907,0.62588,0.58979,0.54931,0.45794,1.46275,0.83628,0.0006931,0.0006931,0.0006931
33,5476.35,0.44865,1.4372,0.84628,0.59343,0.71787,0.7238,0.67132,0.45273,1.24535,0.83678,0.0006832,0.0006832,0.0006832
34,5635.77,0.45037,1.40033,0.83547,0.68417,0.71586,0.75309,0.69793,0.46904,1.22217,0.8437,0.0006733,0.0006733,0.0006733
35,5794.71,0.45277,1.34584,0.84901,0.57246,0.71387,0.69987,0.65109,0.45593,1.24097,0.83722,0.0006634,0.0006634,0.0006634
36,5951.01,0.44944,1.33707,0.84844,0.72111,0.72865,0.799,0.74416,0.44829,1.109,0.83614,0.0006535,0.0006535,0.0006535
37,6108.99,0.45983,1.30078,0.84228,0.74255,0.73704,0.80237,0.74774,0.4478,1.07842,0.83871,0.0006436,0.0006436,0.0006436
